brand,title,url,rating,totalReviews,price,image
Nokia,Nokia Lumia 520 (AT&T Go Phone) No Annual Contract (Discontinued by Manufacturer),https://www.amazon.com/Nokia-Lumia-520-Discontinued-Manufacturer/dp/B00E45043A,3.8,4,59.99,prod_imgs/B00E45043A.jpg
Samsung,"Samsung Galaxy S4, White Frost 16GB (AT&T)",https://www.amazon.com/Samsung-Galaxy-S4-White-Frost/dp/B00E6FGSHY,3.7,641,154.97,prod_imgs/B00E6FGSHY.jpg
Samsung,Samsung Galaxy S4 M919 16GB T-Mobile 4G LTE Smartphone - Black Mist,https://www.amazon.com/Samsung-Galaxy-M919-T-Mobile-Smartphone/dp/B00F1HVZ0Q,3.7,111,229.99,prod_imgs/B00F1HVZ0Q.jpg
Nokia,"Nokia Lumia 925, Black 16GB (AT&T)",https://www.amazon.com/Nokia-Lumia-925-Black-16GB/dp/B00F3JPKCG,2.7,46,54.99,prod_imgs/B00F3JPKCG.jpg
Samsung,Samsung a157V (AT&T Go Phone) No Annual Contract,https://www.amazon.com/Samsung-a157V-Phone-Annual-Contract/dp/B00F9RRVUG,3.5,299,102.0,prod_imgs/B00F9RRVUG.jpg
Samsung,"SAMSUNG GALAXY NOTE 3 , T-Mobile (locked) white",https://www.amazon.com/SAMSUNG-GALAXY-T-Mobile-locked-white/dp/B00FTV382C,3.4,85,299.0,prod_imgs/B00FTV382C.jpg
Samsung,"Samsung ATIV S Neo I187 (16GB, 1GB RAM) 4.77"" Display | Dual Camera | 2,000 mAh Battery | Windows 8.1 SmartPhone | 4G LTE | GSM Unlocked | Royal Blue",https://www.amazon.com/Samsung-ATIV-Neo-Royal-Blue/dp/B00G9G0HTI,4.0,10,79.0,prod_imgs/B00G9G0HTI.jpg
Motorola,Motorola Droid Ultra XT1080 16GB 4G LTE Android Smartphone W/ 10MP Camera - Black,https://www.amazon.com/Motorola-XT1080-Android-Smartphone-Camera/dp/B00HE5834Y,3.5,30,249.99,prod_imgs/B00HE5834Y.jpg
Motorola,Moto G - Verizon Prepaid Phone (Verizon Prepaid Only),https://www.amazon.com/Moto-Verizon-Prepaid-Phone-Only/dp/B00HPP3QD6,4.0,773,64.99,prod_imgs/B00HPP3QD6.jpg
Nokia,"Nokia Lumia Icon, Black 32GB (Verizon Wireless)",https://www.amazon.com/Nokia-Lumia-Icon-Verizon-Wireless/dp/B00HWEMZ1E,3.8,159,233.71,prod_imgs/B00HWEMZ1E.jpg
Nokia,Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - White,https://www.amazon.com/Nokia-Lumia-Unlocked-Windows-Smartphone/dp/B00I2KY5TM,3.5,13,159.99,prod_imgs/B00I2KY5TM.jpg
Samsung,"Samsung Galaxy S5, G900P 16GB White - Sprint",https://www.amazon.com/Samsung-Galaxy-S5-G900P-White/dp/B00IZ1X21K,3.7,5,269.99,prod_imgs/B00IZ1X21K.jpg
Motorola,"Motorola Moto G (1st Generation) Unlocked Cellphone, 8GB, White",https://www.amazon.com/Motorola-Moto-Generation-Unlocked-Cellphone/dp/B00K0NS0P4,4.0,1,209.75,prod_imgs/B00K0NS0P4.jpg
Nokia,Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black,https://www.amazon.com/Nokia-Lumia-Unlocked-Windows-Quad-Core/dp/B00KM10ITK,3.5,693,103.98,prod_imgs/B00KM10ITK.jpg
Sony,Sony Xperia Z2 - Unlocked (White),https://www.amazon.com/MOBILE-1281-9167-XPERIA-WHITE-D6502/dp/B00LIYEMTC,3.2,5,606.3,prod_imgs/B00LIYEMTC.jpg
Motorola,"Motorola Moto G (2nd generation) Unlocked Cellphone, 8GB, Black",https://www.amazon.com/Motorola-2nd-generation-Unlocked-Cellphone/dp/B00MWI4HW0,4.1,3,99.0,prod_imgs/B00MWI4HW0.jpg
Samsung,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",https://www.amazon.com/Samsung-Galaxy-Note-Frosted-Sprint/dp/B00NKR9MJA,3.2,227,259.98,prod_imgs/B00NKR9MJA.jpg
Nokia,Nokia Lumia 530 White - No Contract (T-Mobile),https://www.amazon.com/Nokia-Lumia-530-White-Contract/dp/B00O15MWOM,3.2,378,133.28,prod_imgs/B00O15MWOM.jpg
Samsung,"Samsung Galaxy S4 SGH-I337 USA GSM Unlocked Cellphone, 16GB, Frost White",https://www.amazon.com/Samsung-Galaxy-SGH-I337-Unlocked-Cellphone/dp/B00O2ALRNS,2.8,175,154.97,prod_imgs/B00O2ALRNS.jpg
Motorola,Verizon 4G LTE Moto Luge by Motorola Prepaid Smartphone,https://www.amazon.com/Verizon-Moto-Motorola-Prepaid-Smartphone/dp/B00O2SW2IY,3.1,31,74.98,prod_imgs/B00O2SW2IY.jpg
Samsung,Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black,https://www.amazon.com/Samsung-Galaxy-Note-Unlocked-Cellphone/dp/B00OEK6TWU,3.6,431,194.0,prod_imgs/B00OEK6TWU.jpg
Motorola,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",https://www.amazon.com/Motorola-DROID-Turbo-Ballistic-Wireless/dp/B00OZTSY6Y,3.6,545,149.99,prod_imgs/B00OZTSY6Y.jpg
Nokia,"Nokia Lumia 630 Windows Prepaid SmartPhone, Carrier Locked to Cricket Wireless, No Contract",https://www.amazon.com/Nokia-Windows-SmartPhone-Wireless-Contract/dp/B00PLBFPAS,3.3,14,129.99,prod_imgs/B00PLBFPAS.jpg
Samsung,Samsung Solstice II A817 Touch Screen (AT&T) No Contract,https://www.amazon.com/Samsung-Solstice-Touch-Screen-Contract/dp/B00QFZOYFG,3.3,4,119.99,prod_imgs/B00QFZOYFG.jpg
Samsung,Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost,https://www.amazon.com/Samsung-Galaxy-Unlocked-Quad-Core-Smartphone/dp/B00SIB3HS0,2.6,32,169.93,prod_imgs/B00SIB3HS0.jpg
Apple,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + at&T, White with Silver) (Renewed)",https://www.amazon.com/Apple-MF529LL-Wi-Fi-Silver-Renewed/dp/B00V8STWY8,2.7,6,219.95,prod_imgs/B00V8STWY8.jpg
Samsung,Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless,https://www.amazon.com/Samsung-Convoy-SCH-U680-Verizon-Wireless/dp/B00WF988BW,3.7,264,169.98,prod_imgs/B00WF988BW.jpg
